Time,Channel A,Channel B
(ms),(V),(mV)

11.14212681,0.00000000,-0.13122960
11.30596681,0.00000000,-0.13122960
11.46980681,0.00000000,0.32654800
11.63364681,0.00000000,-0.13122960
11.79748680,0.00000000,-0.13122960
11.96132680,0.00000000,-0.13122960
12.12516680,0.00000000,-0.13122960
12.28900680,0.00000000,0.32654800
12.45284680,0.00000000,-0.13122960
12.61668680,0.00000000,-0.13122960
12.78052680,0.00000000,0.32654800
12.94436680,0.00000000,0.32654800
13.10820680,0.00000000,-0.13122960
13.27204680,0.00000000,-0.13122960
13.43588679,0.00000000,2.15460700
13.59972679,0.00000000,0.78432570
13.76356679,0.00000000,-0.13122960
13.92740679,0.00000000,0.32654800
14.09124679,0.00000000,-0.13122960
14.25508679,0.00000000,-0.13122960
14.41892679,0.00000000,0.32654800
14.58276679,0.00000000,-0.13122960
14.74660679,0.00000000,0.32654800
14.91044679,0.00000000,-0.13122960
15.07428678,0.00000000,-0.13122960
15.23812678,0.00000000,-0.13122960
15.40196678,0.00000000,0.32654800
15.56580678,0.00000000,0.32654800
15.72964678,0.00000000,-0.13122960
15.89348678,0.00000000,-0.13122960
16.05732678,0.89663380,-0.13122960
16.22116678,0.89663380,0.32654800
16.38500678,0.89663380,-0.13122960
16.54884678,0.89663380,0.32654800
16.71268677,0.89663380,-0.13122960
16.87652677,0.89663380,0.32654800
17.04036677,0.89663380,-0.13122960
17.20420677,0.89663380,-0.13122960
17.36804677,0.89663380,-0.13122960
17.53188677,0.89663380,0.32654800
17.69572677,0.89663380,-0.13122960
17.85956677,0.89663380,0.32654800
18.02340677,-0.85192420,-0.13122960
18.18724677,-0.89678640,-0.13122960
18.35108676,-0.89678640,0.32654800
18.51492676,-0.89678640,0.32654800
18.67876676,-0.89678640,-0.13122960
18.84260676,-0.89678640,0.32654800
19.00644676,-0.89678640,-0.13122960
19.17028676,-0.89678640,0.32654800
19.33412676,-0.89678640,0.32654800
19.49796676,-0.89678640,0.78432570
19.66180676,-0.89678640,0.32654800
19.82564676,-0.89678640,0.32654800
19.98948675,0.00000000,-0.13122960
20.15332675,0.00000000,-0.13122960
20.31716675,0.00000000,-0.13122960
20.48100675,0.00000000,-0.13122960
20.64484675,0.00000000,0.32654800
20.80868675,0.00000000,0.32654800
20.97252675,0.00000000,0.32654800
21.13636675,0.00000000,0.32654800
21.30020675,0.00000000,-0.13122960
21.46404675,0.00000000,-0.13122960
21.62788674,0.00000000,0.32654800
21.79172674,0.00000000,0.32654800
21.95556674,0.00000000,-0.13122960
22.11940674,0.00000000,-0.13122960
22.28324674,0.00000000,-0.13122960
22.44708674,0.00000000,-0.13122960
22.61092674,0.00000000,-0.13122960
22.77476674,0.00000000,-0.13122960
22.93860674,0.00000000,0.32654800
23.10244674,0.00000000,-0.13122960
23.26628673,0.00000000,-0.13122960
23.43012673,0.00000000,3.06863600
23.59396673,0.00000000,0.78432570
23.75780673,0.00000000,0.32654800
23.92164673,0.00000000,-0.13122960
24.08548673,0.00000000,-0.13122960
24.24932673,0.00000000,-0.13122960
24.41316673,0.00000000,-0.13122960
24.57700673,0.00000000,0.32654800
24.74084673,0.00000000,0.32654800
24.90468672,0.00000000,0.32654800
25.06852672,0.00000000,0.32654800
25.23236672,0.00000000,0.32654800
25.39620672,0.00000000,-0.13122960
25.56004672,0.00000000,-0.13122960
25.72388672,0.00000000,0.32654800
25.88772672,0.00000000,-0.13122960
26.05156672,1.07593000,0.32654800
26.21540672,1.07593000,-0.13122960
26.37924672,1.07593000,0.32654800
26.54308671,1.07593000,-0.13122960
26.70692671,1.07593000,0.32654800
26.87076671,1.07593000,0.32654800
27.03460671,1.07593000,0.32654800
27.19844671,1.07593000,-0.13122960
27.36228671,1.07593000,-0.13122960
27.52612671,1.07593000,0.32654800
27.68996671,1.07593000,0.32654800
27.85380671,1.07593000,0.32654800
28.01764671,-1.07608300,0.32654800
28.18148670,-1.07608300,0.32654800
28.34532670,-1.07608300,0.32654800
28.50916670,-1.07608300,0.32654800
